Ref,Val,Package,PosX,PosY,Rot,Side
"C4","1u","C_0603",124.841000,-52.578000,180.000000,top
"C5","100n","C_0603",102.026000,-44.498000,0.000000,top
"C6","100n","C_0603",127.496000,-34.163000,180.000000,top
"D0:7","D","D_SOD-123",38.276000,-151.498000,205.000000,top
"D0:8","D","D_SOD-123",71.276000,-133.498000,205.000000,top
"D0:9","D","D_SOD-123",47.276000,-167.498000,180.000000,top
"D0:10","D","D_SOD-123",101.276000,-150.498000,180.000000,top
"D0:11","D","D_SOD-123",101.276000,-154.498000,180.000000,top
"D0:12","D","D_SOD-123",101.276000,-158.498000,180.000000,top
"D1:7","D","D_SOD-123",51.771408,-146.800680,25.000000,top
"D1:8","D","D_SOD-123",73.776000,-137.525760,205.000000,top
"D1:9","D","D_SOD-123",105.276000,-131.498000,0.000000,top
"D1:10","D","D_SOD-123",129.276000,-128.498000,180.000000,top
"D1:11","D","D_SOD-123",143.276000,-130.498000,0.000000,top
"D1:12","D","D_SOD-123",177.276000,-139.498000,270.000000,top
"D1:13","D","D_SOD-123",181.276000,-133.498000,0.000000,top
"D2:7","D","D_SOD-123",68.276000,-106.498000,0.000000,top
"D2:8","D","D_SOD-123",85.276000,-112.498000,0.000000,top
"D2:9","D","D_SOD-123",105.276000,-111.498000,0.000000,top
"D2:10","D","D_SOD-123",129.276000,-108.498000,180.000000,top
"D2:11","D","D_SOD-123",143.276000,-111.498000,0.000000,top
"D2:12","D","D_SOD-123",175.626000,-132.498000,180.000000,top
"D2:13","D","D_SOD-123",184.276000,-115.498000,0.000000,top
"D3:8","D","D_SOD-123",86.276000,-93.498000,0.000000,top
"D3:9","D","D_SOD-123",105.276000,-92.498000,0.000000,top
"D3:10","D","D_SOD-123",129.276000,-89.498000,180.000000,top
"D3:11","D","D_SOD-123",143.276000,-93.498000,0.000000,top
"D3:12","D","D_SOD-123",174.276000,-114.498000,180.000000,top
"D3:13","D","D_SOD-123",185.626000,-96.498000,0.000000,top
"D4:7","D","D_SOD-123",68.276000,-98.498000,0.000000,top
"D4:8","D","D_SOD-123",86.276000,-74.498000,0.000000,top
"D4:9","D","D_SOD-123",105.276000,-73.498000,0.000000,top
"D4:10","D","D_SOD-123",129.276000,-70.498000,180.000000,top
"D4:11","D","D_SOD-123",143.276000,-73.498000,0.000000,top
"D4:12","D","D_SOD-123",174.276000,-94.498000,180.000000,top
"D4:13","D","D_SOD-123",185.276000,-77.498000,0.000000,top
"D5:7","D","D_SOD-123",67.276000,-56.498000,0.000000,top
"D5:8","D","D_SOD-123",86.276000,-58.148000,0.000000,top
"D5:9","D","D_SOD-123",105.276000,-54.998000,0.000000,top
"D5:10","D","D_SOD-123",130.276000,-53.498000,180.000000,top
"D5:11","D","D_SOD-123",143.276000,-54.498000,0.000000,top
"D5:12","D","D_SOD-123",174.276000,-75.498000,180.000000,top
"D5:13","D","D_SOD-123",186.276000,-58.498000,0.000000,top
"LED_A1","LED","LED_0603",138.276000,-37.498000,180.000000,top
"LED_B1","LED","LED_0603",138.276000,-35.498000,180.000000,top
"R3","1k","R_0603",134.276000,-37.498000,0.000000,top
"R4","1k","R_0603",134.276000,-35.498000,0.000000,top
"R6","1k","R_0603",98.276000,-44.498000,0.000000,top
"R7","1k","R_0603",85.026000,-44.498000,0.000000,top
"U2","MCP23018","SOIC-28W_7.5x17.9mm_Pitch1.27mm",121.851000,-44.323000,90.000000,top
